"","recordTime","cognitoId","device","sensorname","alpha","beta","gamma"
"111",1423452153.955,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",265.900971668083,4.80259817885991,-22.9018087233712
"112",1423452154.289,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",270.660866225918,3.54592000544406,-46.2165178679674
"113",1423452154.626,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",279.187121014854,3.76253453634452,-56.9568975674257
"114",1423452154.961,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",287.369617631758,3.48455396889026,-57.8035627174974
"115",1423452155.295,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",299.685831770662,1.72138209714174,-59.6769631673747
"116",1423452155.628,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",323.538807736828,-1.92787281165353,-70.2520161165989
"117",1423452155.967,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",338.768061313472,-2.91625139234414,-57.1428662590198
"118",1423452156.301,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",344.297528610502,-3.16122095727211,-60.0816212244723
"119",1423452156.639,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",342.074067942748,14.4294395619925,-55.1696217193611
"120",1423452156.973,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",314.919038631502,40.6546190760556,-24.2787372215712
"121",1423452157.308,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",285.062227973071,38.2233869645856,-3.86440630635469
"122",1423452157.642,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",278.806333571161,33.888314905456,5.93822371342956
"123",1423452157.975,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",279.138521487012,28.8302191490804,9.48051209796316
"124",1423452158.311,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",280.1552653473,29.2279064818453,6.41696701946707
"125",1423452158.645,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",274.925165790894,30.2767174943787,5.21218649541312
"126",1423452158.979,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",255.989101635717,31.7622392160945,4.78169026149984
"127",1423452159.327,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",221.672590058853,31.1511634864158,2.40693996976283
"128",1423452159.666,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",197.314968571485,30.6543327714444,4.22627517748699
"129",1423452160,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",187.818688425472,31.3106786111019,4.59252587949514
"130",1423452160.333,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",176.847089102065,29.0807303105285,4.93123341592823
"131",1423452160.667,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",171.184050088193,27.007510046001,6.14785191552622
"132",1423452161.001,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",168.876176783307,28.8141906707865,5.60371727603003
"133",1423452161.336,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",165.89286587835,19.1324216943758,7.81004649579012
"134",1423452161.67,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",164.287221675742,5.57128525013234,10.2760895373414
"135",1423452162.003,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",161.945408946772,1.35560269742718,10.2967907312734
"136",1423452162.339,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",152.471812462717,6.02789096207242,7.90055938977671
"137",1423452162.681,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",137.83914985377,22.0518897393415,4.57959892264456
"138",1423452163.017,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",127.079238937986,44.5537415651162,-2.6484608440421
"139",1423452163.352,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",127.021534884199,51.7321154750229,-6.5012876398933
"140",1423452163.686,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",120.514421853795,36.01800104319,-1.42341324786668
"141",1423452164.02,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",119.316184244709,14.3049823885689,3.62292332101587
"142",1423452164.355,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",117.385906867698,11.6961253303855,3.77599341919878
"143",1423452164.691,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",115.180819255006,35.0212701225535,-2.94110755618422
"144",1423452165.025,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",114.191849539343,38.9761242393438,-20.3009772684665
"145",1423452165.359,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",113.786971783181,40.7424929849354,-28.5411428239728
"146",1423452165.694,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",113.776670101507,37.044632134126,-14.5575050360721
"147",1423452166.029,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",116.461280598384,36.1324989070082,2.65531799074133
"148",1423452166.364,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",117.919145370791,37.0717766212942,13.2019544339874
"149",1423452166.699,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",116.513152925599,37.4053408794455,15.4819987612438
"150",1423452167.033,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",111.822318932248,37.6526090528092,-3.80854583416548
"151",1423452167.369,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","screenAdjustedEvent",112.495141150296,24.7224465049613,0.628896871890139
