"","recordTime","cognitoId","device","sensorname","lat","long"
"139",1423452163.352,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"140",1423452163.686,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"141",1423452164.02,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"142",1423452164.355,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"143",1423452164.691,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"144",1423452165.025,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"145",1423452165.359,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"146",1423452165.694,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"147",1423452166.029,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102271175059,-122.333216623332
"148",1423452166.364,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610187289114,-122.333061007557
"149",1423452166.699,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6101867536473,-122.333058495747
"150",1423452167.033,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102203266612,-122.333092132194
"151",1423452167.369,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102212211529,-122.333092781263
"152",1423452167.703,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102231990636,-122.333093757919
